"guid","publicationReferenceDocumentNumber","compositeId","publicationReferenceDocumentNumber1","datePublishedKwicHits","datePublished","inventionTitle","type","mainClassificationCode","applicantName","assigneeName","uspcFullClassificationFlattened","ipcCodeFlattened","cpcInventiveFlattened","cpcAdditionalFlattened","applicationFilingDate","applicationFilingDateKwicHits","relatedApplFilingDate","primaryExaminer","assistantExaminer","applicationNumber","frontPageStart","frontPageEnd","drawingsStart","drawingsEnd","specificationStart","specificationEnd","claimsStart","claimsEnd","abstractStart","abstractEnd","bibStart","bibEnd","certCorrectionStart","certCorrectionEnd","certReexaminationStart","certReexaminationEnd","supplementalStart","supplementalEnd","ptabStart","ptabEnd","amendStart","amendEnd","searchReportStart","searchReportEnd","pageCount","pageCountDisplay","previouslyViewed","unused","imageLocation","imageFileName","cpcCodes","queryId","tags","inventorsShort","familyIdentifierCur","familyIdentifierCurStr","languageIndicator","databaseName","dwImageDoctypeList","dwImageLocList","dwPageCountList","dwImageDocidList","patentFamilyMembers","patentFamilyCountry","patentFamilySerialNumber","documentIdWithDashesDw","pfPublDate","pfPublDateKwicHits","priorityClaimsDate","priorityClaimsDateKwicHits","pfApplicationSerialNumber","pfApplicationDescriptor","pfLanguage","pfApplicationDate","pfApplicationDateKwicHits","clippedUri","source","documentId","derwentAccessionNumber","documentSize","score","governmentInterest","kindCode","urpn","urpnCode","descriptionStart","descriptionEnd","publicationReferenceDocumentNumberOne","collapsed","lastChild","familyCount"
"US-20220179123-A1","20220179123","81847998!PG-US-20220179123","20220179123",NA,"2022-06-09T00:00:00Z","METHOD AND APPARATUS FOR PRODUCING GROUND VEGETATION INPUT DATA FOR GLOBAL <span class=""MatchFromOtherFieldStyle"">CLIMATE</span> <span class=""MatchFromOtherFieldStyle"">CHANGE</span> PREDICTION MODEL","US-PGPUB","1/1","National Institute of Meteorological Sciences",NA,NA,"G01W1/10","G01W1/10","Y02A90/10;G06F30/20;G01W2201/00","2021-09-16T00:00:00Z",NA,NA,NA,NA,"17/476735",1,1,2,5,6,10,10,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,"11",FALSE,FALSE,"us-pgpub/US/2022/0179/123","00000001.tif",NA,NA,NA,"SUNG; Hyun Min et al.",81847998,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-12-04T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,"US 20220179123 A1",NA,45881,54.553764,NA,"A1",NA,NA,6,10,"20220179123",TRUE,TRUE,1
"US-20220041282-A1","20220041282","76477149!PG-US-20220041282","20220041282",NA,"2022-02-10T00:00:00Z","GASEOUS MATTER CAPTURE SYSTEM AND METHOD","US-PGPUB","1/1","HIGH HOPES LABS LTD.",NA,NA,"B64C39/02;B01D53/04","B64C39/024;B64C39/022;B64F3/00;B01D53/04;B01D53/22;B01D53/84;G01W1/08;B01D53/62;B01D53/86;B64B1/50","B01D2253/106;B01D2253/108;B01D2253/204;B64C2201/12;B01D2257/504;Y02A50/20;Y02C20/40;B64C2201/022;B01D2258/06","2020-12-17T00:00:00Z",NA,"2019-12-21T00:00:00Z",NA,NA,"17/425504",1,1,2,6,7,14,14,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,"15",FALSE,FALSE,"us-pgpub/US/2022/0041/282","00000001.tif",NA,NA,NA,"OREN; Eran",76477149,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US 20220041282 A1",NA,80170,58.385868,NA,"A1",NA,NA,7,14,"20220041282",TRUE,TRUE,1
"US-20210332604-A1","20210332604","78221858!PG-US-20210332604","20210332604",NA,"2021-10-28T00:00:00Z","Canopy For Climate And Solar Mitigation","US-PGPUB","1/1","Aintabi; Jason",NA,NA,"E04H15/04;B64B1/40","G01W1/02;B64B1/40;E04H15/04","Y02E10/50;Y02E70/30","2021-04-22T00:00:00Z",NA,"2020-04-22T00:00:00Z",NA,NA,"17/237738",1,1,2,7,8,12,12,13,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,"13",FALSE,FALSE,"us-pgpub/US/2021/0332/604","00000001.tif",NA,NA,NA,"Aintabi; Jason",78221858,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US 20210332604 A1",NA,47559,55.61924,NA,"A1",NA,NA,8,12,"20210332604",TRUE,TRUE,1
"US-20210149078-A1","20210149078","75909932!PG-US-20210149078","20210149078",NA,"2021-05-20T00:00:00Z","Method For Preventing Infectious Disease Outbreaks in Nursing Homes and Hospitals Due to <span class=""MatchFromOtherFieldStyle"">Global</span> <span class=""MatchFromOtherFieldStyle"">Warming</span> and Resistances to Medication","US-PGPUB","1/1","Ohayon; Jacques Jacob",NA,NA,"G01W1/02;A61B5/00","F24F11/52;F24F11/57;G01W1/17;F24F11/50;G01W1/02;F24F11/30;A61B5/7465;F24F11/58;F24F3/14","F24F2110/10;F24F2110/20;F24F2130/10;G01W2201/00","2020-10-28T00:00:00Z",NA,"2019-11-18T00:00:00Z",NA,NA,"17/082511",1,1,2,9,10,12,12,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,"12",FALSE,FALSE,"us-pgpub/US/2021/0149/078","00000001.tif",NA,NA,NA,"Ohayon; Jacques Jacob",75909932,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US 20210149078 A1",NA,33238,35.857155,NA,"A1",NA,NA,10,12,"20210149078",TRUE,TRUE,1
"US-20200292729-A1","20200292729","72424047!PG-US-20200292729","20200292729",NA,"2020-09-17T00:00:00Z","Method and apparatus for <span class=""MatchFromOtherFieldStyle"">global</span> <span class=""MatchFromOtherFieldStyle"">warming</span> monitor","US-PGPUB","1/1","Karna; John Dennis",NA,NA,"G01W1/10","G01W1/10","Y02A90/10;G01W2201/00","2019-12-31T00:00:00Z",NA,"2019-03-11T00:00:00Z",NA,NA,"16/602945",1,1,2,5,6,9,9,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,"10",FALSE,FALSE,"us-pgpub/US/2020/0292/729","00000001.tif",NA,NA,NA,"Karna; John Dennis",72424047,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US 20200292729 A1",NA,33525,62.47332,NA,"A1",NA,NA,6,9,"20200292729",TRUE,TRUE,1
"US-20180059284-A1","20180059284","57669890!PG-US-20180059284","20180059284",NA,"2018-03-01T00:00:00Z","EVALUATION METHOD OF GLACIER STORAGE VARIATION BASED ON BASIN WATER-BALANCE PRINCIPLE","US-PGPUB","1/1","China Institute of Water Resources and Hydropower Research","China Institute of Water Resources and Hydropower Research",NA,"G01V99/00;G01W1/02","G01W1/14;G01W1/18;G01W1/02;G01V99/005;G01W1/10",NA,"2017-07-21T00:00:00Z",NA,NA,NA,NA,"15/655905",1,1,2,3,4,7,7,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,"7",FALSE,FALSE,"us-pgpub/US/2018/0059/284","00000001.tif",NA,NA,NA,"YAN; Denghua et al.",57669890,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-08-12T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,"US 20180059284 A1",NA,38423,56.69362,NA,"A1",NA,NA,4,7,"20180059284",TRUE,TRUE,1
"US-20170176640-A1","20170176640","54196430!PG-US-20170176640","20170176640",NA,"2017-06-22T00:00:00Z","System for Multivariate <span class=""MatchFromOtherFieldStyle"">Climate</span> <span class=""MatchFromOtherFieldStyle"">Change</span> Forecasting With Uncertainty Quantification","US-PGPUB","1/1","Northeastern University",NA,NA,"G01W1/10;G01W1/06","G01W1/10;G01W1/06","Y02A90/10;G06N7/08;G06N7/005","2015-03-27T00:00:00Z",NA,"2014-03-28T00:00:00Z; 2014-03-31T00:00:00Z",NA,NA,"15/127635",1,1,2,14,15,23,23,24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,"24",FALSE,FALSE,"us-pgpub/US/2017/0176/640","00000001.tif",NA,NA,NA,"KODRA; Evan et al.",54196430,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US 20170176640 A1",NA,115998,55.574097,"STATEMENT REGARDING FEDERALLY SPONSORED RESEARCH OR DEVELOPMENT
[0002] This invention was made with government support under grant No. 1029711, awarded by the National Science Foundation. The government has certain rights in the invention.","A1",NA,NA,15,23,"20170176640",TRUE,TRUE,1
"US-20160328670-A1","20160328670","57222711!PG-US-20160328670","20160328670",NA,"2016-11-10T00:00:00Z","PREDICTING EFFECTS OF <span class=""MatchFromOtherFieldStyle"">CLIMATE</span> <span class=""MatchFromOtherFieldStyle"">CHANGE</span> ON SUPPLY CHAIN PERFORMANCE","US-PGPUB","1/1","INTERNATIONAL BUSINESS MACHINES CORPORATION",NA,NA,"G06Q10/06;G01W1/10","G06Q10/06315;G01W1/10;G06Q10/067","Y02A90/10","2015-05-04T00:00:00Z",NA,NA,NA,NA,"14/703592",1,1,2,13,14,23,23,25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,"25",FALSE,FALSE,"us-pgpub/US/2016/0328/670","00000001.tif",NA,NA,NA,"ADAM; CONSTANTIN M. et al.",57222711,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US 20160328670 A1",NA,92568,60.8889,NA,"A1",NA,NA,14,23,"20160328670",TRUE,TRUE,1
"US-20120123682-A1","20120123682","46048561!PG-US-20120123682",NA,NA,"2012-05-17T00:00:00Z","METHOD AND SYSTEM FOR PRODUCING CLIMATE CRISIS INDEX","US-PGPUB","702/3",NA,NA,NA,"G06F19/00;G01W1/00","G06Q50/00;G01W1/00;G06Q10/0635",NA,"2010-09-16T00:00:00Z",NA,NA,NA,NA,"13/387278",1,1,2,19,20,28,28,30,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,"30",FALSE,FALSE,"us-pgpub/US/2012/0123/682","00000001.tif",NA,NA,NA,"Oh; Jai Ho et al.",46048561,NA,"EN","PGPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-02-25T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,"US 20120123682 A1",NA,64989,59.1433,NA,"A1",NA,NA,20,28,NA,TRUE,TRUE,1
